OTUID	G-F2-W-1	G-F2-W-2	G-F2-W-3	G-F2-A-1	G-F2-A-2	G-F2-A-3	G-F2-1-1	G-F2-1-2	G-F2-1-3	G-F2-100-1	G-F2-100-2	G-F2-100-3	G-F2-200-1	G-F2-200-2	G-F2-200-3	G-F6-W-1	G-F6-W-2	G-F6-W-3	G-F6-A-1	G-F6-A-2	G-F6-A-3	G-F6-1-1	G-F6-1-2	G-F6-1-3	G-F6-100-1	G-F6-100-2	G-F6-100-3	G-F6-200-1	G-F6-200-2	G-F6-200-3	G-F10-W-1	G-F10-W-2	G-F10-W-3	G-F10-A-1	G-F10-A-2	G-F10-A-3	G-F10-1-1	G-F10-1-2	G-F10-1-3	G-F10-100-1	G-F10-100-2	G-F10-100-3	G-G2-W-1	G-G2-W-2	G-G2-W-3	G-G2-A-1	G-G2-A-2	G-G2-A-3	G-G2-1-1	G-G2-1-2	G-G2-1-3	G-G2-100-1	G-G2-100-2	G-G2-100-3	G-G2-200-1	G-G2-200-2	G-G2-200-3	G-G6-W-1	G-G6-W-2	G-G6-W-3	G-G6-A-1	G-G6-A-2	G-G6-A-3	G-G6-1-1	G-G6-1-2	G-G6-1-3	G-G6-100-1	G-G6-100-2	G-G6-100-3	G-G6-200-1	G-G6-200-2	G-G6-200-3	G-G10-W-1	G-G10-W-2	G-G10-W-3	G-G10-A-1	G-G10-A-2	G-G10-A-3	G-G10-1-1	G-G10-1-2	G-G10-1-3	G-G10-100-1	G-G10-100-2	G-G10-100-3	G-G10-200-2	G-G10-200-3	S-W-293-1	S-W-293-2	S-W-293-3	S-W-104-1	S-W-104-2	S-W-104-3	S-B-104-1	S-B-104-2	S-B-104-3	S-D-104-1	S-D-104-2	S-D-104-3	S-C-104-1	S-C-104-2	S-C-104-3	S-W-175-1	S-W-175-2	S-W-175-3	S-W-305-1	S-W-305-2	S-W-305-3	S-B-305-1	S-B-305-2	S-B-305-3	S-D-305-1	S-D-305-2	S-D-305-3	S-C-305-1	S-C-305-2	S-C-305-3
Otu497	1	1	1	1	1	1	0	0	0	0	1	2	0	0	1	3	0	1	0	1	1	0	1	1	0	0	1	5	1	7	834	470	309	627	564	182	445	296	241	271	29	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	644	503	233	273	332	503	300	333	424	113	25	218	244	399	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu10	80	100	90	84	98	83	82	120	123	91	89	93	93	82	48	147	98	116	83	105	133	168	105	121	82	148	118	78	90	112	172	120	109	116	116	111	129	88	142	181	189	260	77	95	83	81	81	85	84	88	71	78	73	80	125	50	47	117	107	80	106	70	94	81	87	87	111	130	121	60	76	69	78	62	40	74	53	100	136	110	104	119	149	110	64	87	72	86	103	29	16	31	55	57	56	44	55	62	93	80	108	49	51	47	45	42	64	51	62	55	44	48	62	54	66	67
Otu13	15	8	9	5	2	1	25	10	38	12	4	7	14	8	14	93	24	13	52	14	21	8	58	17	17	16	21	15	58	41	134	184	185	242	230	161	200	250	245	263	244	251	6	6	1	4	1	1	17	3	5	5	42	19	38	8	1	2	17	11	9	13	3	6	10	8	3	4	7	14	23	5	268	524	140	240	279	169	135	181	153	51	23	95	111	109	2	1	4	8	7	9	1	1	3	5	1	1	1	1	1	1	10	1	2	1	2	12	25	4	2	2	1	1	1	1
Otu43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	2	3	2	1	3	1	5	0	7	4	13	8	2	3	11	1	12	9	16	14	12	8	0	0	0	0	0	0	0	0	0	0	1	0	0	4	4	0	2	3	2	2	1	1	1	2	2	1	2	27	5	1	13	12	12	10	12	6	21	39	23	8	1	9	15	16	166	53	37	287	273	332	240	205	225	297	328	235	82	98	145	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0
Otu1	460	459	476	528	527	456	627	908	546	786	650	1164	1870	1829	673	446	291	436	464	872	798	711	524	674	505	765	1091	224	341	864	314	717	1111	357	500	806	550	357	475	387	326	343	1679	1719	1638	1611	1755	1886	1344	1855	2005	2344	1025	960	1028	3050	3351	1209	928	1161	1204	734	1321	1279	1069	959	1014	875	774	164	62	445	292	136	42	374	125	265	299	254	166	327	410	134	110	91	0	2	1	2	1	1	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1
Otu21	18	8	12	14	13	15	29	14	18	15	8	14	35	27	56	128	54	108	94	81	86	36	56	23	71	19	30	28	75	22	133	110	115	126	165	257	144	186	138	136	148	148	5	2	4	3	4	2	15	7	6	3	22	19	10	12	16	38	69	95	44	63	13	18	41	57	15	22	26	53	30	31	124	89	100	150	230	136	69	68	65	106	20	44	98	45	485	238	403	257	284	335	530	568	504	507	528	457	279	324	394	240	124	161	207	146	170	164	297	161	57	36	26	67	74	70
Otu5	1237	836	1060	1128	893	1158	1370	1150	1040	1160	725	448	482	621	1301	681	729	777	1016	713	772	593	915	825	866	566	458	749	1113	566	313	383	253	364	428	320	635	640	697	620	703	732	333	198	389	356	471	493	717	288	216	62	1229	891	328	285	113	197	456	546	364	723	290	312	481	452	428	472	421	750	1939	1046	251	218	208	440	437	253	266	372	194	227	117	165	283	183	30	11	14	262	253	244	595	452	475	508	458	477	320	405	381	43	112	95	279	155	230	176	401	282	30	19	19	273	240	142
Otu3	316	426	529	328	504	316	560	519	569	108	86	49	78	58	216	218	1026	697	235	172	358	282	402	163	415	654	362	1211	682	749	78	55	44	88	67	34	41	87	49	131	230	79	270	147	442	243	312	169	219	228	290	11	346	55	101	24	14	246	363	381	263	1075	207	325	169	608	601	924	586	526	125	346	97	37	11	74	60	278	108	70	90	119	442	190	34	49	13	29	31	38	41	52	193	190	204	149	163	163	365	237	398	908	1006	1007	352	701	659	553	368	272	429	410	484	252	255	362
Otu26	160	155	115	152	158	140	132	161	175	36	139	57	61	77	25	170	147	183	159	210	198	194	179	174	152	194	151	102	120	86	89	68	43	61	65	53	82	53	61	81	77	89	173	212	192	225	188	171	177	200	190	174	88	140	169	38	35	248	215	173	205	150	231	244	262	188	188	174	217	84	16	66	44	30	15	30	24	41	43	42	44	47	66	43	29	35	1	6	2	2	4	5	8	8	8	7	9	12	14	22	12	32	43	61	101	50	56	62	68	67	85	87	81	62	84	86
Otu141	9	10	10	11	13	26	13	4	15	26	9	12	3	4	4	35	173	25	43	11	21	8	20	10	20	2	16	4	10	4	220	297	288	381	267	234	240	401	259	162	283	158	5	1	4	7	4	2	6	1	2	2	1	7	4	0	2	4	9	10	9	13	4	8	3	14	2	3	3	11	16	10	131	108	95	251	255	172	29	36	70	40	13	83	30	41	210	104	203	9	12	9	26	21	35	15	12	8	18	24	18	37	102	49	20	17	14	19	30	16	1	1	1	8	9	6
Otu15	39	32	34	46	56	72	103	74	177	200	80	89	48	36	118	70	85	127	135	81	90	57	160	76	84	66	65	65	122	62	206	121	57	95	77	118	153	113	104	72	86	50	15	22	11	17	10	5	50	19	22	17	141	56	54	26	17	17	56	51	43	142	42	27	35	68	57	48	48	260	197	210	219	428	28	148	210	87	31	56	45	29	9	38	38	31	714	783	895	1273	1144	1344	881	878	812	590	506	511	622	722	680	55	158	70	54	29	42	88	174	35	20	16	21	24	26	19
Otu46	4	21	16	8	15	14	18	11	18	15	38	16	17	53	17	6	7	6	2	1	8	7	9	13	11	14	11	6	13	20	2	3	1	1	2	1	1	3	6	13	3	13	12	3	7	5	8	8	9	6	13	20	17	17	49	3	7	7	7	7	14	10	4	12	5	17	5	11	9	8	0	3	4	2	1	2	2	5	7	8	6	6	2	6	10	8	10	15	3	0	1	1	2	0	0	1	2	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu33	4	7	15	9	10	11	10	9	4	46	14	63	32	13	91	8	9	9	4	7	6	22	9	12	39	18	13	6	12	2	14	6	2	18	21	50	104	42	56	151	149	89	6	11	4	8	8	6	9	12	8	9	12	11	34	9	5	6	7	8	9	4	10	10	9	11	11	11	9	13	80	12	8	4	5	25	20	10	83	80	85	73	134	88	36	54	10	13	11	4	4	1	20	20	18	13	8	15	23	15	17	123	160	123	19	19	15	12	33	13	23	27	19	18	17	20
Otu799	12	8	11	14	14	12	23	20	23	13	19	12	18	18	25	7	6	9	108	13	11	12	19	16	18	10	5	95	12	1	25	41	22	38	71	63	54	61	70	182	140	103	10	4	4	1	4	2	11	3	5	1	20	17	10	3	2	3	8	7	7	17	4	5	8	10	7	5	10	12	80	42	47	40	34	75	51	59	8	22	20	17	7	7	358	14	51	9	2	44	51	39	132	109	164	123	120	114	197	171	196	4	11	21	19	7	14	13	36	18	113	76	101	34	37	28
Otu41	4	4	4	4	5	4	2	2	4	4	2	3	2	1	2	3	3	3	3	5	3	6	3	3	6	2	0	1	1	4	6	4	3	5	4	4	4	3	5	6	7	6	3	4	6	7	5	5	5	4	5	4	2	0	4	1	0	6	6	4	5	3	8	4	7	4	6	3	6	0	5	0	7	4	2	8	5	9	12	16	13	9	10	25	10	10	5	8	8	1	10	8	15	12	18	14	7	15	22	11	26	56	72	37	67	87	67	82	111	59	55	27	31	84	87	105
Otu7	101	84	73	112	110	94	87	130	131	39	88	56	62	54	29	255	220	275	235	372	276	334	280	236	182	302	189	147	156	161	94	101	102	108	112	78	118	61	87	113	93	153	189	156	209	178	217	143	161	185	205	246	86	100	235	48	105	514	322	288	378	180	420	406	452	292	336	316	388	132	41	41	61	47	19	59	34	57	88	95	107	66	79	77	75	88	4	2	4	1	2	1	2	1	1	1	2	3	2	0	3	2	3	2	3	5	3	6	5	5	5	6	4	4	6	6
Otu36	5	5	8	6	6	9	12	8	8	5	4	10	8	4	3	8	3	8	6	9	10	8	7	7	5	8	7	5	9	13	49	48	73	69	92	68	48	44	42	132	129	141	12	10	12	13	17	8	9	15	14	16	7	9	17	2	7	11	7	7	13	7	9	12	8	10	12	12	7	0	3	4	61	54	13	106	47	79	58	56	50	71	91	52	36	48	7	8	5	0	2	3	1	1	1	1	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu12	396	338	313	314	299	306	292	208	270	162	78	38	56	77	100	67	43	60	140	102	92	79	166	125	38	38	27	34	31	6	51	94	37	89	120	96	115	127	122	134	153	96	154	91	96	64	159	105	132	50	67	7	101	218	49	17	13	17	52	50	73	168	63	48	45	78	55	31	36	38	126	107	72	62	27	126	52	84	22	29	22	13	39	17	46	21	27	21	17	115	131	73	224	192	263	292	269	334	269	285	265	4	6	10	29	16	15	52	74	62	20	12	17	45	43	34
