OTUID	kingdom	phylum	class	order	family	genus	species	mapping
Otu1219	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	NA	0.54
Otu1218	Bacteria	Armatimonadetes	[Fimbriimonadia]	[Fimbriimonadales]	[Fimbriimonadaceae]	Fimbriimonas	NA	1
Otu1217	Bacteria	Proteobacteria	Gammaproteobacteria	[Marinicellales]	[Marinicellaceae]	NA	NA	1
Otu1216	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	SB-1	NA	NA	1
Otu1215	Bacteria	Cyanobacteria	4C0d-2	MLE1-12	NA	NA	NA	1
Otu1214	NA	NA	NA	NA	NA	NA	NA	1
Otu1213	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	NA	1
Otu1212	Bacteria	NKB19	TSBW08	NA	NA	NA	NA	1
Otu1211	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	denitrificans	0.57
Otu1210	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	NA	0.77
Otu1329	Bacteria	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	DA101	NA	0.99
Otu1328	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	NA	NA	NA	1
Otu1323	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	NA	NA	0.64
Otu1322	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Dokdonella	NA	1
Otu1321	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	NA	1
Otu1320	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	NA	NA	NA	0.51
Otu1327	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	0.75
Otu1326	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	NA	NA	0.95
Otu1325	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA	0.8
Otu1324	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anaerobacillus	NA	0.91
Otu318	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera	NA	1
Otu319	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	0.99
Otu310	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	litoralis	0.84
Otu311	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	dentocariosa	0.98
Otu312	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	NA	1
Otu313	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NA	NA	0.51
Otu314	Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Sediminibacterium	NA	1
Otu315	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	NA	NA	NA	0.58
Otu316	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA	0.94
Otu317	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	NA	0.9
Otu338	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum	0.6
Otu798	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA	0.79
Otu799	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oleispira	NA	1
Otu794	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	C111	NA	NA	1
Otu795	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	NA	1
Otu796	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	marinus	0.58
Otu797	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	1
Otu790	Bacteria	Acidobacteria	iii1-8	DS-18	NA	NA	NA	1
Otu791	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA	NA	1
Otu792	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	OM60	Congregibacter	NA	0.92
Otu793	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA	NA	0.95
Otu1037	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	NA	0.57
Otu1036	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	NA	NA	1
Otu1035	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	azotifigens	0.95
Otu1034	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	0.54
Otu1033	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	NA	NA	NA	0.99
Otu1032	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Roseivirga	NA	1
Otu558	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	0.98
Otu559	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	NA	0.83
Otu556	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	0.95
Otu557	Bacteria	[Thermi]	Deinococci	Deinococcales	Trueperaceae	Truepera	NA	1
Otu554	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	rectus	0.64
Otu555	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Neptunomonas	NA	0.54
Otu552	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	NA	1
Otu553	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA	1
Otu550	Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Sediminibacterium	NA	0.95
Otu551	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella	NA	0.77
Otu776	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	0.97
