"variable","ap","count","frac"
"G.F2.W.1","non-processing",3586,0.720080321285141
"G.F2.W.1","processing",328,0.065863453815261
"G.F2.W.1","unknown",1066,0.214056224899598
"G.F2.W.2","non-processing",3518,0.70784708249497
"G.F2.W.2","processing",367,0.0738430583501006
"G.F2.W.2","unknown",1085,0.21830985915493
"G.F2.W.3","non-processing",3530,0.708693033527404
"G.F2.W.3","processing",334,0.0670548082714314
"G.F2.W.3","unknown",1117,0.224252158201164
"G.F2.A.1","non-processing",3438,0.68994581577363
"G.F2.A.1","processing",431,0.0864940798715633
"G.F2.A.1","unknown",1114,0.223560104354806
"G.F2.A.2","non-processing",3475,0.698632891033374
"G.F2.A.2","processing",339,0.0681544028950543
"G.F2.A.2","unknown",1160,0.233212706071572
"G.F2.A.3","non-processing",3535,0.709127382146439
"G.F2.A.3","processing",395,0.0792377131394183
"G.F2.A.3","unknown",1055,0.211634904714142
"G.F2.1.1","non-processing",3311,0.664992970475999
"G.F2.1.1","processing",298,0.0598513757782687
"G.F2.1.1","unknown",1370,0.275155653745732
"G.F2.1.2","non-processing",2868,0.576598311218335
"G.F2.1.2","processing",307,0.0617209489344592
"G.F2.1.2","unknown",1799,0.361680739847205
"G.F2.1.3","non-processing",3036,0.610619469026549
"G.F2.1.3","processing",399,0.080249396621078
"G.F2.1.3","unknown",1537,0.309131134352373
"G.F2.100.1","non-processing",2748,0.551143200962696
"G.F2.100.1","processing",207,0.0415162454873646
"G.F2.100.1","unknown",2031,0.40734055354994
"G.F2.100.2","non-processing",3292,0.659719438877756
"G.F2.100.2","processing",419,0.0839679358717435
"G.F2.100.2","unknown",1279,0.256312625250501
"G.F2.100.3","non-processing",2750,0.551212667869312
"G.F2.100.3","processing",270,0.0541190619362598
"G.F2.100.3","unknown",1969,0.394668270194428
"G.F2.200.1","non-processing",2055,0.412154031287605
"G.F2.200.1","processing",284,0.0569594865623747
"G.F2.200.1","unknown",2647,0.53088648215002
"G.F2.200.2","non-processing",2238,0.448048048048048
"G.F2.200.2","processing",242,0.0484484484484485
"G.F2.200.2","unknown",2515,0.503503503503503
"G.F2.200.3","non-processing",2822,0.566666666666667
"G.F2.200.3","processing",613,0.123092369477912
"G.F2.200.3","unknown",1545,0.310240963855422
"G.F6.W.1","non-processing",3091,0.621681415929204
"G.F6.W.1","processing",417,0.083869670152856
"G.F6.W.1","unknown",1464,0.29444891391794
"G.F6.W.2","non-processing",3688,0.741008639742817
"G.F6.W.2","processing",305,0.0612818967249347
"G.F6.W.2","unknown",984,0.197709463532248
"G.F6.W.3","non-processing",3196,0.641895963044788
"G.F6.W.3","processing",448,0.0899779072102832
"G.F6.W.3","unknown",1335,0.268126129744929
"G.F6.A.1","non-processing",3444,0.691427424212006
"G.F6.A.1","processing",354,0.0710700662517567
"G.F6.A.1","unknown",1183,0.237502509536238
"G.F6.A.2","non-processing",2691,0.54003612281758
"G.F6.A.2","processing",573,0.114990969295605
"G.F6.A.2","unknown",1719,0.344972907886815
"G.F6.A.3","non-processing",2861,0.575653923541247
"G.F6.A.3","processing",468,0.0941649899396378
"G.F6.A.3","unknown",1641,0.330181086519115
"G.F6.1.1","non-processing",2680,0.538152610441767
"G.F6.1.1","processing",577,0.115863453815261
"G.F6.1.1","unknown",1723,0.345983935742972
"G.F6.1.2","non-processing",3097,0.62251256281407
"G.F6.1.2","processing",427,0.0858291457286432
"G.F6.1.2","unknown",1451,0.291658291457286
"G.F6.1.3","non-processing",3066,0.615539048383859
"G.F6.1.3","processing",464,0.0931539851435455
"G.F6.1.3","unknown",1451,0.291306966472596
"G.F6.100.1","non-processing",2936,0.589795098433106
"G.F6.100.1","processing",489,0.0982322217758136
"G.F6.100.1","unknown",1553,0.311972679791081
"G.F6.100.2","non-processing",2949,0.59169341894061
"G.F6.100.2","processing",419,0.0840690208667737
"G.F6.100.2","unknown",1616,0.324237560192616
"G.F6.100.3","non-processing",2558,0.512522540573031
"G.F6.100.3","processing",453,0.090763374073332
"G.F6.100.3","unknown",1980,0.396714085353637
"G.F6.200.1","non-processing",3933,0.787229783827062
"G.F6.200.1","processing",206,0.0412329863891113
"G.F6.200.1","unknown",857,0.171537229783827
"G.F6.200.2","non-processing",3352,0.672552166934189
"G.F6.200.2","processing",337,0.0676163723916533
"G.F6.200.2","unknown",1295,0.259831460674157
"G.F6.200.3","non-processing",3286,0.6572
"G.F6.200.3","processing",177,0.0354
"G.F6.200.3","unknown",1537,0.3074
"G.F10.W.1","non-processing",3614,0.724974924774323
"G.F10.W.1","processing",133,0.0266800401203611
"G.F10.W.1","unknown",1238,0.248345035105316
"G.F10.W.2","non-processing",3328,0.670157068062827
"G.F10.W.2","processing",112,0.022553362867499
"G.F10.W.2","unknown",1526,0.307289569069674
"G.F10.W.3","non-processing",3196,0.641638225255973
"G.F10.W.3","processing",104,0.0208793414976912
"G.F10.W.3","unknown",1681,0.337482433246336
"G.F10.A.1","non-processing",3740,0.750551876379691
"G.F10.A.1","processing",99,0.0198675496688742
"G.F10.A.1","unknown",1144,0.229580573951435
"G.F10.A.2","non-processing",3588,0.721496078825659
"G.F10.A.2","processing",92,0.0184998994570682
"G.F10.A.2","unknown",1293,0.260004021717273
"G.F10.A.3","non-processing",3163,0.635651125401929
"G.F10.A.3","processing",103,0.0206993569131833
"G.F10.A.3","unknown",1710,0.343649517684887
"G.F10.1.1","non-processing",3548,0.712879244524814
"G.F10.1.1","processing",92,0.018485031143259
"G.F10.1.1","unknown",1337,0.268635724331927
